metric	metric_value	metric_type
abox_axiom_count	473	single_value
abox_axiom_count_incl	473	single_value
annotation_property_count	66	single_value
annotation_property_count_incl	66	single_value
axiom_count	8104	single_value
axiom_count_incl	8104	single_value
class_count	571	single_value
class_count_incl	571	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	0	single_value
datatypes_count	5	single_value
datatypes_count_incl	5	single_value
individual_count	443	single_value
individual_count_incl	443	single_value
logical_axiom_count	1436	single_value
logical_axiom_count_incl	1436	single_value
obj_property_count	123	single_value
obj_property_count_incl	123	single_value
ontology_anno_count	4	single_value
ontology_iri	http://purl.obolibrary.org/obo/aio.owl	single_value
ontology_version_iri	http://purl.obolibrary.org/obo/aio/releases/2024-03-29/aio.owl	single_value
owl2	true	single_value
owl2_dl	false	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
owl2dl_profile_violation	UseOfReservedVocabularyForAnnotationPropertyIRI 1	map_value
rbox_axiom_count	230	single_value
rbox_axiom_count_incl	230	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	1208	single_value
signature_entity_count_incl	1208	single_value
tbox_axiom_count	733	single_value
tbox_axiom_count_incl	733	single_value
tboxrbox_axiom_count	963	single_value
tboxrbox_axiom_count_incl	963	single_value
